URL,Total Funding
https://finder.startupnationcentral.org/company_page/superup,$15M
https://finder.startupnationcentral.org/company_page/shinez-io,Undisclosed
https://finder.startupnationcentral.org/company_page/shl-telemedicine,Undisclosed
https://finder.startupnationcentral.org/company_page/fantasy-advantage,$26M
https://finder.startupnationcentral.org/company_page/silo-kitchen,$3.17M
https://finder.startupnationcentral.org/company_page/joytunes,$92M
https://finder.startupnationcentral.org/company_page/simtex,$1.25M
https://finder.startupnationcentral.org/company_page/sirin-mobile-technologies,$97M
https://finder.startupnationcentral.org/company_page/smore,$1.7M
https://finder.startupnationcentral.org/company_page/snatchbot,Undisclosed
https://finder.startupnationcentral.org/company_page/solio-therapy,Undisclosed
https://finder.startupnationcentral.org/company_page/soundbetter,Undisclosed
https://finder.startupnationcentral.org/company_page/intuitive-audio-labs1,$14M
https://finder.startupnationcentral.org/company_page/ping,$15.2M
https://finder.startupnationcentral.org/company_page/spinomenal,Undisclosed
https://finder.startupnationcentral.org/company_page/splacer,$12.32M
https://finder.startupnationcentral.org/company_page/aktibo-solutions,$38M
https://finder.startupnationcentral.org/company_page/stay-labs,Undisclosed
https://finder.startupnationcentral.org/company_page/steps-1,$15M
https://finder.startupnationcentral.org/company_page/stoa-fund,$90M
https://finder.startupnationcentral.org/company_page/stoke-talent,$20M
https://finder.startupnationcentral.org/company_page/streamelements,$111.5M
https://finder.startupnationcentral.org/company_page/stuffthatworks,$9M
https://finder.startupnationcentral.org/company_page/sueapp,Undisclosed
https://finder.startupnationcentral.org/company_page/tekoia,$10M
https://finder.startupnationcentral.org/company_page/sweet-inn,$62M
https://finder.startupnationcentral.org/company_page/sync-me,$4M
https://finder.startupnationcentral.org/company_page/syqe-medical,$81.65M
https://finder.startupnationcentral.org/company_page/codota,$30.05M
https://finder.startupnationcentral.org/company_page/tailor-brands,$74.4M
https://finder.startupnationcentral.org/company_page/tectona,$30M
https://finder.startupnationcentral.org/company_page/temi,$36M
https://finder.startupnationcentral.org/company_page/tempramed,Undisclosed
https://finder.startupnationcentral.org/company_page/the-crow-group,Undisclosed
https://finder.startupnationcentral.org/company_page/timocco,$2M
https://finder.startupnationcentral.org/company_page/tinytap,$9.55M
https://finder.startupnationcentral.org/company_page/tipranks,$99M
https://finder.startupnationcentral.org/company_page/tonara,$9.75M
https://finder.startupnationcentral.org/company_page/tourist-journey,Undisclosed
https://finder.startupnationcentral.org/company_page/toya,$6M
https://finder.startupnationcentral.org/company_page/trackimo,Undisclosed
https://finder.startupnationcentral.org/company_page/travelist,Undisclosed
https://finder.startupnationcentral.org/company_page/listenapp,$2.03M
https://finder.startupnationcentral.org/company_page/twik-technologies,Undisclosed
https://finder.startupnationcentral.org/company_page/uni-diamonds,Undisclosed
https://finder.startupnationcentral.org/company_page/unipharm,Undisclosed
https://finder.startupnationcentral.org/company_page/upright-pose,$4.9M
https://finder.startupnationcentral.org/company_page/erudite,$4M
https://finder.startupnationcentral.org/company_page/vbox-communications,Undisclosed
https://finder.startupnationcentral.org/company_page/venn-city,$100M
https://finder.startupnationcentral.org/company_page/vi-labs,$41.55M
https://finder.startupnationcentral.org/company_page/via,$1.03B
https://finder.startupnationcentral.org/company_page/viber,Undisclosed
https://finder.startupnationcentral.org/company_page/visonic,Undisclosed
https://finder.startupnationcentral.org/company_page/voiceitt,$22.14M
https://finder.startupnationcentral.org/company_page/skywatch-technologies,$22M
https://finder.startupnationcentral.org/company_page/wise-smoker,$450K
https://finder.startupnationcentral.org/company_page/waze,$67M
https://finder.startupnationcentral.org/company_page/webhose-io,Undisclosed
https://finder.startupnationcentral.org/company_page/wecheck,$12M
https://finder.startupnationcentral.org/company_page/weski,$1.05M
https://finder.startupnationcentral.org/company_page/whaleapp,Undisclosed
https://finder.startupnationcentral.org/company_page/whalo-games,Undisclosed
https://finder.startupnationcentral.org/company_page/wifi-map,Undisclosed
https://finder.startupnationcentral.org/company_page/wisdo,$15M
https://finder.startupnationcentral.org/company_page/wishi,$3.73M
https://finder.startupnationcentral.org/company_page/wix,$685.5M
https://finder.startupnationcentral.org/company_page/wobi,Undisclosed
https://finder.startupnationcentral.org/company_page/woo,$11.35M
https://finder.startupnationcentral.org/company_page/vrphysio,$31.98M
https://finder.startupnationcentral.org/company_page/xtras,$125K
https://finder.startupnationcentral.org/company_page/yoom,$41M
https://finder.startupnationcentral.org/company_page/rumble1,Undisclosed
https://finder.startupnationcentral.org/company_page/zeekit,$9M
https://finder.startupnationcentral.org/company_page/kzen-networks,$24M
https://finder.startupnationcentral.org/company_page/futbol-ai,$10.5M
